Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:203(<genexpr>)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       94    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4890(<genexpr>)
       91    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:379(__setattr__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
     87/2    0.000    0.000    0.155    0.077 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     87/2    0.000    0.000    0.155    0.077 <frozen importlib._bootstrap>:1002(_find_and_load)
    87/79    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3576(__str__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       86    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       86    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\_virtualenv.py:54(find_spec)
       84    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
       83    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
       82    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
       82    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       81    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    81/70    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     81/2    0.000    0.000    0.154    0.077 <frozen importlib._bootstrap>:659(_load_unlocked)
       81    0.000    0.000    0.032    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
       79    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
